=== INFORME DE SANITIZACIÓN DE BASE DE DATOS ===

[Produccion-Backup-23012026.first_name] Reemplazado '├¡' por 'í' -> 3 filas actualizadas.
[Produccion-Backup-23012026.last_name] Reemplazado '├¡' por 'í' -> 2 filas actualizadas.
[Produccion-Backup-23012026.last_name] Reemplazado '├│' por 'ó' -> 1 filas actualizadas.
[Produccion-Backup-23012026.last_name] Reemplazado '├í' por 'á' -> 3 filas actualizadas.
[Produccion-Backup-23012026.last_name] Reemplazado '├ì' por 'Í' -> 2 filas actualizadas.
[Produccion-Backup-23012026.document_type] Reemplazado '├¡' por 'í' -> 3 filas actualizadas.
[Produccion-Backup-23012026.document_type] Reemplazado '├®' por 'é' -> 3 filas actualizadas.
[Produccion-Backup-23012026.current_grade] Reemplazado '├¡' por 'í' -> 2 filas actualizadas.
[Produccion-Backup-23012026.parent_names] Reemplazado '├¡' por 'í' -> 5 filas actualizadas.
[Produccion-Backup-23012026.parent_names] Reemplazado '├│' por 'ó' -> 1 filas actualizadas.
[Produccion-Backup-23012026.parent_names] Reemplazado '├í' por 'á' -> 3 filas actualizadas.
[Produccion-Backup-23012026.parent_names] Reemplazado '├®' por 'é' -> 3 filas actualizadas.
[Produccion-Backup-23012026.parent_names] Reemplazado '├▒' por 'ñ' -> 1 filas actualizadas.
[Produccion-Backup-23012026.parent_names] Reemplazado '├æ' por 'Ñ' -> 2 filas actualizadas.
[Produccion-Backup-23012026.parent_emails] Reemplazado '├¡' por 'í' -> 1 filas actualizadas.
[Produccion-Backup-23012026.guardian_info] Reemplazado '├¡' por 'í' -> 4 filas actualizadas.
[Produccion-Backup-23012026.guardian_info] Reemplazado '├│' por 'ó' -> 1 filas actualizadas.
[Produccion-Backup-23012026.guardian_info] Reemplazado '├í' por 'á' -> 2 filas actualizadas.
[Produccion-Backup-23012026.guardian_info] Reemplazado '├®' por 'é' -> 2 filas actualizadas.
[Produccion-Backup-23012026.guardian_info] Reemplazado '├▒' por 'ñ' -> 1 filas actualizadas.
[Produccion-Backup-23012026.guardian_info] Reemplazado '├æ' por 'Ñ' -> 1 filas actualizadas.
[Produccion-Backup-23012026.programs] Reemplazado '├í' por 'á' -> 1 filas actualizadas.
[Produccion-Backup-23012026.father_info] Reemplazado '├¡' por 'í' -> 3 filas actualizadas.
[Produccion-Backup-23012026.father_info] Reemplazado '├®' por 'é' -> 3 filas actualizadas.
[Produccion-Backup-23012026.father_info] Reemplazado '├æ' por 'Ñ' -> 2 filas actualizadas.
[Produccion-Backup-23012026.mother_info] Reemplazado '├¡' por 'í' -> 4 filas actualizadas.
[Produccion-Backup-23012026.mother_info] Reemplazado '├ì' por 'Í' -> 3 filas actualizadas.
[Produccion-Backup-23012026.mother_info] Reemplazado '├®' por 'é' -> 4 filas actualizadas.
[Produccion-Backup-23012026.mother_info] Reemplazado '├æ' por 'Ñ' -> 2 filas actualizadas.
[Produccion-Backup-23012026.mother_info] Reemplazado '├ü' por 'Á' -> 4 filas actualizadas.
[Produccion-Backup-23012026.mother_info] Reemplazado '├ë' por 'É' -> 2 filas actualizadas.
[Produccion-Backup-23012026.mother_info] Reemplazado '├ô' por 'Ó' -> 1 filas actualizadas.
[Produccion-Backup-23012026.guardian_info_detailed] Reemplazado '├¡' por 'í' -> 3 filas actualizadas.
[Produccion-Backup-23012026.guardian_info_detailed] Reemplazado '├ì' por 'Í' -> 3 filas actualizadas.
[Produccion-Backup-23012026.guardian_info_detailed] Reemplazado '├®' por 'é' -> 3 filas actualizadas.
[Produccion-Backup-23012026.guardian_info_detailed] Reemplazado '├æ' por 'Ñ' -> 2 filas actualizadas.
[Produccion-Backup-23012026.guardian_info_detailed] Reemplazado '├ü' por 'Á' -> 2 filas actualizadas.
[Produccion-Backup-23012026.guardian_info_detailed] Reemplazado '├ë' por 'É' -> 1 filas actualizadas.
[Produccion-Backup-23012026.guardian_info_detailed] Reemplazado '├ô' por 'Ó' -> 1 filas actualizadas.
[Tabla_Verdad_Estudiantes.nombres_del_estudiante] Reemplazado '├¡' por 'í' -> 2773 filas actualizadas.
[Tabla_Verdad_Estudiantes.nombres_del_estudiante] Reemplazado '├ì' por 'Í' -> 47 filas actualizadas.
[Tabla_Verdad_Estudiantes.nombres_del_estudiante] Reemplazado '├®' por 'é' -> 1124 filas actualizadas.
[Tabla_Verdad_Estudiantes.nombres_del_estudiante] Reemplazado '├ü' por 'Á' -> 15 filas actualizadas.
[Tabla_Verdad_Estudiantes.nombres_del_estudiante] Reemplazado '├ë' por 'É' -> 22 filas actualizadas.
[Tabla_Verdad_Estudiantes.nombres_del_estudiante] Reemplazado '├ô' por 'Ó' -> 8 filas actualizadas.
[Tabla_Verdad_Estudiantes.apellidos_del_estudiante] Reemplazado '├ì' por 'Í' -> 44 filas actualizadas.
[Tabla_Verdad_Estudiantes.apellidos_del_estudiante] Reemplazado '├æ' por 'Ñ' -> 36 filas actualizadas.
[Tabla_Verdad_Estudiantes.apellidos_del_estudiante] Reemplazado '├ü' por 'Á' -> 43 filas actualizadas.
[Tabla_Verdad_Estudiantes.apellidos_del_estudiante] Reemplazado '├ë' por 'É' -> 2271 filas actualizadas.
[Tabla_Verdad_Estudiantes.apellidos_del_estudiante] Reemplazado '├ô' por 'Ó' -> 26 filas actualizadas.
[Tabla_Verdad_Estudiantes.apellidos_del_estudiante] Reemplazado '├à' por 'Å' -> 2 filas actualizadas.
[Tabla_Verdad_Estudiantes.apellidos_del_estudiante] Reemplazado '├£' por 'Ü' -> 1 filas actualizadas.
[Tabla_Verdad_Estudiantes.apellidos_del_estudiante] Reemplazado '├Ü' por 'Ú' -> 2 filas actualizadas.
[Tabla_Verdad_Estudiantes.tipo_de_documento_de_identificacion] Reemplazado '├¡' por 'í' -> 3491 filas actualizadas.
[Tabla_Verdad_Estudiantes.tipo_de_documento_de_identificacion] Reemplazado '├®' por 'é' -> 3491 filas actualizadas.
[Tabla_Verdad_Estudiantes.lugar_de_expedicion_del_documento] Reemplazado '├¡' por 'í' -> 4 filas actualizadas.
[Tabla_Verdad_Estudiantes.lugar_de_expedicion_del_documento] Reemplazado '├í' por 'á' -> 6368 filas actualizadas.
[Tabla_Verdad_Estudiantes.lugar_de_expedicion_del_documento] Reemplazado '├®' por 'é' -> 2 filas actualizadas.
[Tabla_Verdad_Estudiantes.lugar_de_expedicion_del_documento] Reemplazado '├ü' por 'Á' -> 1149 filas actualizadas.
[Tabla_Verdad_Estudiantes.lugar_de_expedicion_del_documento] Reemplazado '├║' por 'ú' -> 1 filas actualizadas.
[Tabla_Verdad_Estudiantes.lugar_de_expedicion_del_documento] Reemplazado '├á' por 'à' -> 1 filas actualizadas.
[Tabla_Verdad_Estudiantes.direccion_de_su_residencia] Reemplazado '├¡' por 'í' -> 5 filas actualizadas.
[Tabla_Verdad_Estudiantes.direccion_de_su_residencia] Reemplazado '├│' por 'ó' -> 1 filas actualizadas.
[Tabla_Verdad_Estudiantes.direccion_de_su_residencia] Reemplazado '├ì' por 'Í' -> 1 filas actualizadas.
[Tabla_Verdad_Estudiantes.direccion_de_su_residencia] Reemplazado '├▒' por 'ñ' -> 1 filas actualizadas.
[Tabla_Verdad_Estudiantes.direccion_de_su_residencia] Reemplazado '├ü' por 'Á' -> 3 filas actualizadas.
[Tabla_Verdad_Estudiantes.direccion_de_su_residencia] Reemplazado '├║' por 'ú' -> 3 filas actualizadas.
[Tabla_Verdad_Estudiantes.direccion_de_su_residencia] Reemplazado '┬║' por 'º' -> 1 filas actualizadas.
[Tabla_Verdad_Estudiantes.direccion_de_su_residencia] Reemplazado '┬░' por '°' -> 3 filas actualizadas.
[Tabla_Verdad_Estudiantes.barrio] Reemplazado '├¡' por 'í' -> 8 filas actualizadas.
